repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
6,Python,0.01,"_",228.15,9638.48,4
19,Python,0.01,"_",268.83,8180.10,4
17,Python,0.001,"_",259.87,8461.98,4
23,Python,1,"_",205.81,10684.88,4
18,Python,0.001,"_",229.79,9569.77,4
1,Python,1,"_",405.36,5424.82,4
12,Python,0.001,"_",266.92,8238.43,4
0,Python,0.001,"_",233.05,9435.93,4
25,Python,0.1,"_",208.43,10550.41,4
8,Python,0.01,"_",226.26,9718.97,4
4,Python,0.01,"_",239.02,9200.30,4
21,Python,0.01,"_",247.68,8878.36,4
0,Python,1,"_",218.88,10046.63,4
21,Python,0.1,"_",220.74,9962.10,4
5,Python,0.1,"_",207.15,10615.62,4
7,Python,0.01,"_",235.77,9327.11,4
22,Python,0.1,"_",208.18,10563.12,4
3,Python,0.01,"_",231.10,9515.60,4
5,Python,0.01,"_",226.99,9687.91,4
16,Python,0.1,"_",207.85,10580.11,4
20,Python,0.001,"_",254.07,8655.31,4
6,Python,0.001,"_",231.00,9519.52,4
19,Python,0.001,"_",237.37,9264.02,4
20,Python,1,"_",206.88,10629.47,4
4,Python,0.001,"_",265.94,8268.79,4
2,Python,1,"_",206.72,10637.82,4
27,Python,0.01,"_",231.93,9481.25,4
11,Python,0.1,"_",216.45,10159.35,4
26,Python,0.1,"_",210.65,10439.37,4
14,Python,0.001,"_",232.01,9478.30,4
19,Python,1,"_",299.69,7337.77,4
7,Python,1,"_",207.39,10603.15,4
9,Python,0.01,"_",224.52,9794.35,4
3,Python,1,"_",206.64,10641.61,4
24,Python,0.1,"_",209.38,10502.49,4
22,Python,0.01,"_",226.50,9708.90,4
10,Python,0.01,"_",228.70,9615.35,4
10,Python,0.1,"_",214.37,10257.97,4
8,Python,0.001,"_",245.81,8946.10,4
25,Python,0.001,"_",285.18,7711.13,4
25,Python,1,"_",206.98,10624.34,4
27,Python,0.001,"_",244.72,8985.87,4
7,Python,0.001,"_",233.05,9435.68,4
27,Python,1,"_",207.94,10575.31,4
21,Python,1,"_",208.51,10546.49,4
9,Python,0.001,"_",256.93,8558.99,4
9,Python,1,"_",206.72,10637.62,4
23,Python,0.01,"_",238.56,9217.76,4
13,Python,0.1,"_",207.63,10591.00,4
28,Python,0.1,"_",244.80,8982.94,4
5,Python,0.001,"_",228.71,9614.93,4
18,Python,0.1,"_",204.20,10768.79,4
22,Python,1,"_",203.85,10787.25,4
28,Python,0.01,"_",223.76,9827.70,4
1,Python,0.01,"_",234.38,9382.44,4
12,Python,0.01,"_",244.18,9005.79,4
0,Python,0.1,"_",209.01,10520.90,4
12,Python,0.1,"_",212.15,10365.49,4
29,Python,0.01,"_",223.79,9826.24,4
0,Python,0.01,"_",226.62,9703.70,4
2,Python,0.01,"_",223.04,9859.19,4
26,Python,0.001,"_",263.77,8336.91,4
26,Python,1,"_",201.07,10936.66,4
20,Python,0.1,"_",209.34,10504.43,4
17,Python,1,"_",208.12,10566.20,4
24,Python,0.001,"_",244.27,9002.33,4
1,Python,0.001,"_",225.86,9736.11,4
24,Python,1,"_",206.88,10629.69,4
28,Python,1,"_",206.02,10673.80,4
10,Python,1,"_",208.10,10566.96,4
19,Python,0.1,"_",208.84,10529.66,4
20,Python,0.01,"_",235.19,9349.91,4
8,Python,0.1,"_",207.31,10607.23,4
12,Python,1,"_",207.71,10587.01,4
23,Python,0.001,"_",246.22,8931.02,4
7,Python,0.1,"_",209.63,10489.81,4
14,Python,0.1,"_",208.54,10544.73,4
3,Python,0.1,"_",206.80,10633.41,4
28,Python,0.001,"_",229.88,9565.95,4
14,Python,0.01,"_",238.46,9221.82,4
18,Python,1,"_",206.10,10669.43,4
29,Python,0.001,"_",383.74,5730.54,4
25,Python,0.01,"_",242.67,9061.89,4
2,Python,0.001,"_",224.97,9774.69,4
29,Python,1,"_",209.67,10487.85,4
6,Python,1,"_",384.20,5723.68,4
27,Python,0.1,"_",230.32,9547.88,4
15,Python,0.1,"_",211.97,10374.45,4
4,Python,1,"_",209.73,10485.24,4
9,Python,0.1,"_",209.96,10473.62,4
11,Python,0.01,"_",221.35,9934.77,4
14,Python,1,"_",221.32,9936.00,4
16,Python,0.01,"_",221.61,9923.14,4
8,Python,1,"_",209.55,10493.78,4
17,Python,0.1,"_",210.81,10431.47,4
3,Python,0.001,"_",227.36,9672.16,4
21,Python,0.001,"_",261.59,8406.23,4
15,Python,0.01,"_",233.48,9418.63,4
26,Python,0.01,"_",219.58,10014.85,4
11,Python,1,"_",210.87,10428.17,4
17,Python,0.01,"_",235.40,9341.74,4
13,Python,0.01,"_",236.47,9299.23,4
24,Python,0.01,"_",231.80,9486.78,4
1,Python,0.1,"_",225.71,9742.66,4
5,Python,1,"_",210.85,10429.52,4
16,Python,0.001,"_",225.69,9743.70,4
16,Python,1,"_",209.54,10494.68,4
23,Python,0.1,"_",208.61,10541.50,4
15,Python,0.001,"_",235.77,9326.95,4
15,Python,1,"_",210.31,10455.90,4
11,Python,0.001,"_",258.49,8507.18,4
22,Python,0.001,"_",281.44,7813.36,4
13,Python,0.001,"_",258.31,8513.24,4
13,Python,1,"_",210.88,10427.88,4
18,Python,0.01,"_",226.43,9711.50,4
29,Python,0.1,"_",209.44,10499.44,4
6,Python,0.1,"_",210.09,10466.87,4
10,Python,0.001,"_",302.60,7267.20,4
4,Python,0.1,"_",207.29,10608.48,4
2,Python,0.1,"_",211.50,10397.30,4
